id,name,partei,sector,country,type
uvdl,Ursula von der Leyen,CDU,1,Deutschland,1
lk,Lars Klingbeil,SPD,1,Deutschland,1
nr,Norbert Röttgen,CDU,1,Deutschland,1
sw,Sahra Wagenknecht,Die Linke,1,Deutschland,1
cs,Constanze Stelzenmüller,NA,3,Deutschland,1
cld,Christian Lindner,FDP,1,Deutschland,1
ks,Karl Schlögel,NA,1,Deutschland,1
lm,Ljudmyla Melnyk,NA,3,Deutschland,1
kd,Kristina Dunz,NA,2,Deutschland,1
el,Egils Levits,NA,2,NA,1
ab,Annalena Baerbock,Bündnis 90/Die Grünen,1,Deutschland,1
ft,Frans Timmermans,NA,2,NA,1
am,Andrij Melnyk,NA,2,Deutschland,1
al,Alexander Graf Lambsdorff,FDP,1,Deutschland,1
er,Egon Ramms,NA,2,NA,1
rh,Robert Habeck,Bündnis 90/Die Grünen,1,Deutschland,1
cm,Claudia Major,NA,3,Deutschland,1
kp,Katja Petrowskaja,NA,3,Deutschland,1
rk,Roderich Kiesewetter,CDU,1,Deutschland,1
cll,Christine Lambrecht,SPD,1,Deutschland,1
sb,Stefanie Babst,NA,2,NA,1
ch,Christoph Heusgen,NA,2,NA,1
mw,Marina Weisband,NA,3,NA,1
os,Olaf Scholz,SPD,1,Deutschland,1
fh,Folge 500,NA,NA,NA,2
fhe,Folge 501,NA,NA,NA,2
fhz,Folge 502,NA,NA,NA,2
fhd,Folge 503,NA,NA,NA,2
fhv,Folge 504,NA,NA,NA,2
fhf,Folge 505,NA,NA,NA,2